
> @yellatech/engine@0.13.9 load-test
> tsx examples/load-test.ts realistic

Dashboard: http://127.0.0.1:3400

Yella Engine Load Test  [Realistic (API call simulation)]
════════════════════════════════════════════════════════════════════════════════
  Concurrency:   20
  Duration:      300s across 6 phases
  Seed events:   ~9,060 (each spawns 4-7 runs)
  Expected runs: ~45,300 (mixed shallow/deep)
  Handler time:  200-600ms (main), 20-80ms (validate)
  Failure rate:  3%  |  Slow outliers: 5% (2000-5000ms)
  Retry policy:  2 retries, exponential backoff (500ms, 1s, 2s)

  Phases:
    warm-up         2 events/s × 30s
    steady         10 events/s × 60s
    peak           30 events/s × 60s
    surge          60 events/s × 60s
    spike         100 events/s × 30s
    cool-down       0 events/s × 60s
════════════════════════════════════════════════════════════════════════════════

     ts │ phase        │ queue                │    completed │   throughput │         p95 │      rss │ sq
   270s │ cool-down    │ q:  7585 idle  20 run │ done:  11,778 │      44 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   272s │ cool-down    │ q:  7596 idle  20 run │ done:  11,874 │      48 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   274s │ cool-down    │ q:  7612 idle  20 run │ done:  11,965 │    45.5 run/s │ p95:  2500ms │ rss: 181MB │ sq: 0
   276s │ cool-down    │ q:  7628 idle  20 run │ done:  12,074 │    54.5 run/s │ p95:  2500ms │ rss: 158MB │ sq: 0
   278s │ cool-down    │ q:  7652 idle  20 run │ done:  12,190 │      58 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   280s │ cool-down    │ q:  7663 idle  20 run │ done:  12,292 │      51 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   282s │ cool-down    │ q:  7667 idle  20 run │ done:  12,384 │      46 run/s │ p95:  2500ms │ rss: 159MB │ sq: 0
   284s │ cool-down    │ q:  7675 idle  20 run │ done:  12,516 │      66 run/s │ p95:  2500ms │ rss: 161MB │ sq: 0
   286s │ cool-down    │ q:  7695 idle  20 run │ done:  12,617 │    50.5 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
   288s │ cool-down    │ q:  7711 idle  20 run │ done:  12,705 │      44 run/s │ p95:  2500ms │ rss: 162MB │ sq: 0
